code,naam,cat,subcat,eenheid,leverancier
114439,Stabiliseerschijf M8 28/30 rail,Bevestigingsmateriaal,MPC Rail & Consoles,stuk
118797,Montage hoek 90° 28/30,Bevestigingsmateriaal,MPC Rail & Consoles,stuk
106002,Eindkappen zw28/30 (einddop),Bevestigingsmateriaal,MPC Rail & Consoles,stuk
113517,Consoleset met geluiddemp. L=640,Bevestigingsmateriaal,MPC Rail & Consoles,stuk
130283,Draagbalkklauw M8 38/40,Bevestigingsmateriaal,MPC Rail & Consoles,stuk
130260,Draagbalkklem M8 binnendraad,Bevestigingsmateriaal,MPC Rail & Consoles,stuk
112407,Grondplaat M8 (muurpl+moer),Bevestigingsmateriaal,MPC Rail & Consoles,stuk
5250352,Rapid dakplaatprofielhanger M8/M10,Bevestigingsmateriaal,MPC Rail & Consoles,stuk
5833874,Fischer plug duopower 6x30 mm,Bevestigingsmateriaal,Pluggen & Ankers,stuk
5834063,Fischer plug duopower 8x40 mm,Bevestigingsmateriaal,Pluggen & Ankers,stuk
5834070,Fischer plug duopower 10x50 mm,Bevestigingsmateriaal,Pluggen & Ankers,stuk
99BB1002,Grip Lock metalen beugel 1/4-1/2,Bevestigingsmateriaal,Leidingbeugels,stuk
99BB1004,Grip Lock metalen beugel 3/8-5/8,Bevestigingsmateriaal,Leidingbeugels,stuk
99BB1006,Grip Lock metalen beugel 1/2-7/8,Bevestigingsmateriaal,Leidingbeugels,stuk
99BB1008,Grip Lock metalen beugel 5/8-1 1/8,Bevestigingsmateriaal,Leidingbeugels,stuk
99BB1012,Plastic leidingdrager P2 3/8&5/8,Bevestigingsmateriaal,Leidingbeugels,stuk
99BB1014,Plastic leidingdrager P3 1/2&7/8,Bevestigingsmateriaal,Leidingbeugels,stuk
99BB1016,Plastic leidingdrager P4 5/8&1 1/8,Bevestigingsmateriaal,Leidingbeugels,stuk
"151599,""Beugel (20-25) slagvaste buis 3/4"""""",Bevestigingsmateriaal,Leidingbeugels,stuk"
142361,Beugel tbv afvoer 32mm met rubber inleg,Bevestigingsmateriaal,Leidingbeugels,stuk
148502,Schaal + beugel 3/8 & 1/2 leiding,Bevestigingsmateriaal,Leidingbeugels,stuk
148503,Schaal + beugel 5/8 & 3/4 leiding,Bevestigingsmateriaal,Leidingbeugels,stuk
148504,Schaal + beugel 7/8 leiding,Bevestigingsmateriaal,Leidingbeugels,stuk
148505,Schaal + beugel 1 1/8 leiding,Bevestigingsmateriaal,Leidingbeugels,stuk
148506,Schaal + beugel 1 3/8 leiding,Bevestigingsmateriaal,Leidingbeugels,stuk
148507,Schaal + beugel 1 5/8 leiding,Bevestigingsmateriaal,Leidingbeugels,stuk
99KG5050,Lasstaaf Fosfor 3mm 0.5 KG,Diversen,Gereedschap,stuk
5810834,Tu makita 835x13mm,Diversen,Gereedschap,stuk
121404,Bit voor betonschroef,Diversen,Gereedschap,stuk
106551,Dop 13,Diversen,Gereedschap,stuk
178743,SDS-betonboren M6 160mm lang (doos 10 stuks),Diversen,Gereedschap,stuk
"5353167,""Kabel 3 x 2,5 mm² vaste kern"",Elektra,Kabels & Snoeren,stuk"
"5355267,""Kabel 4 x 2,5 mm² vaste kern"",Elektra,Kabels & Snoeren,stuk"
"5353972,""Kabel 5 x 2,5 mm² vaste kern"",Elektra,Kabels & Snoeren,stuk"
"99KA1260,""Snoer 2 x 0,75 mm² niet afgeschermd halogeenvrij"",Elektra,Kabels & Snoeren,stuk"
"99KA1272,""Snoer 2 x 1,5 mm² afgeschermd halogeenvrij"",Elektra,Kabels & Snoeren,stuk"
"99KA1264,""Snoer 3 x 1,5 mm² soepel halogeenvrij"",Elektra,Kabels & Snoeren,stuk"
"99KA1266,""Snoer 4 x 1,5 mm² soepel halogeenvrij"",Elektra,Kabels & Snoeren,stuk"
0426403,Aansl snoer met stekker 3mtr,Elektra,Kabels & Snoeren,stuk
99AS3490,Condensslang 30 mtr,Elektra,Kabels & Snoeren,stuk
2473387,PVC buis 3/4,Elektra,PVC Buis & Toebehoren,stuk
4505053,PVC buis 3/4 halogeenvrij,Elektra,PVC Buis & Toebehoren,stuk
0409441,Sok PVC buis 3/4,Elektra,PVC Buis & Toebehoren,stuk
